Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.4168334097994977, T = 0.43979057120986587
x = 0.4188374165773799, T = 0.4418238908592031
x = 0.4208414233552621, T = 0.44385629127578996
x = 0.4228454301331443, T = 0.4458877720804736
x = 0.4248494369110265, T = 0.44791833292381483
x = 0.4268534436889087, T = 0.44994797348608756
x = 0.4288574504667909, T = 0.45197669347727915
x = 0.4308614572446731, T = 0.4540044926370904
x = 0.4328654640225553, T = 0.45603137073493527
x = 0.43486947080043753, T = 0.4580573275699412
x = 0.43687347757831974, T = 0.46008236297094923
x = 0.4388774843562019, T = 0.46210647679651323
x = 0.4408814911340841, T = 0.464129668934901
x = 0.4428854979119663, T = 0.46615193930409327
x = 0.4448895046898485, T = 0.4681732878517843
x = 0.4468935114677307, T = 0.47019371455538167
x = 0.4488975182456129, T = 0.47221321942200656
x = 0.4509015250234951, T = 0.47423180248849306
x = 0.4529055318013773, T = 0.47624946382138905
x = 0.45490953857925953, T = 0.4782662035169555
x = 0.45691354535714174, T = 0.4802820217011667
x = 0.45891755213502394, T = 0.48229691852971057
x = 0.4609215589129061, T = 0.4843108941879883
x = 0.4629255656907883, T = 0.4863239488911142
x = 0.4649295724686705, T = 0.48833608288391633
x = 0.4669335792465527, T = 0.4903472964409358
x = 0.4689375860244349, T = 0.49235758986642725
x = 0.4709415928023171, T = 0.49436696349435866
x = 0.4729455995801993, T = 0.4963754176884111
x = 0.47494960635808153, T = 0.4983829528419796
x = 0.47695361313596374, T = 0.5003895693781718
x = 0.47895761991384594, T = 0.5023952677498095
x = 0.48096162669172815, T = 0.504400048439427
x = 0.4829656334696103, T = 0.5064039119592727
x = 0.4849696402474925, T = 0.508406858851308
x = 0.4869736470253747, T = 0.5104088896872078
x = 0.4889776538032569, T = 0.51241000506836
x = 0.4909816605811391, T = 0.5144102056258665
x = 0.49298566735902133, T = 0.5164094920205421
x = 0.49498967413690353, T = 0.518407864942915
x = 0.49699368091478574, T = 0.5204053251132269
x = 0.49899768769266795, T = 0.5224018732814328
x = 0.5010016944705501, T = 0.524397510227201
x = 0.5030057012484324, T = 0.5263922367599135
x = 0.5050097080263145, T = 0.5283860537186648
x = 0.5070137148041968, T = 0.5303789619722639
x = 0.5090177215820789, T = 0.5323709624192321
x = 0.5110217283599612, T = 0.5343620559878048
x = 0.5130257351378433, T = 0.5363522436359308
x = 0.5150297419157255, T = 0.5383415263512715
x = 0.5170337486936077, T = 0.5403299051512025
x = 0.5190377554714899, T = 0.5423173810828125
x = 0.5210417622493722, T = 0.544303955222903
x = 0.5230457690272543, T = 0.5462896286779895
x = 0.5250497758051366, T = 0.5482744025843008
x = 0.5270537825830187, T = 0.5502582781077787
x = 0.529057789360901, T = 0.5522412564440791
x = 0.5310617961387831, T = 0.5542233388185703
x = 0.5330658029166654, T = 0.5562045264863348
x = 0.5350698096945475, T = 0.5581848207321677
x = 0.5370738164724297, T = 0.560164222870578
x = 0.539077823250312, T = 0.5621427342457882
x = 0.5410818300281941, T = 0.5641203562317333
x = 0.5430858368060764, T = 0.5660970902320628
x = 0.5450898435839585, T = 0.5680729376801386
x = 0.5470938503618408, T = 0.5700479000390365
x = 0.5490978571397229, T = 0.5720219788015456
x = 0.5511018639176052, T = 0.5739951754901682
